"","Title","Revenue","logRev","N_Theaters","logThea","Release_Date","Inception","No_Article","Views60","Users60","Rigor60","Edits60","Views50","Users50","Rigor50","Edits50","Views40","Users40","Rigor40","Edits40","Views30","Users30","Rigor30","Edits30","Views20","Users20","Rigor20","Edits20","Views10","Users10","Rigor10","Edits10","lV60","lU60","lR60","lE60","ldV50","ldU50","ldR50","ldE50","ldV40","ldU40","ldR40","ldE40","ldV30","ldU30","ldR30","ldE30","ldV20","ldU20","ldR20","ldE20","ldV10","ldU10","ldR10","ldE10","Wide_Release","is_sequel","is_3D_or_IMAX","Fri_Sat","in_Summer","Federal_Holiday","N_Other_Rel"
"272","The Town",23808032,16.9855335607001,2861,7.95892649305011,2010-09-17,377,0,212100,51,58,85,247921,52,60,87,276915,58,64,91,303414,59,70,97,339931,63,75,103,397301,70,86,120,12.2648178552988,3.95124371858143,4.07753744390572,4.45434729625351,10.4863175087852,0.693147180559945,1.09861228866811,1.09861228866811,10.2748786803105,1.94591014905531,1.6094379124341,1.6094379124341,10.1849000119743,0.693147180559945,1.94591014905531,1.94591014905531,10.5055605686967,1.6094379124341,1.79175946922805,1.94591014905531,10.9572942281569,2.07944154167984,2.484906649788,2.89037175789616,1,0,0,1,0,0,6
"273","The Trial",8957,9.10019062847519,1,0,2010-09-10,-163,1,322,0,0,0,330,0,0,0,340,0,0,0,435,0,0,0,504,0,0,0,566,0,0,0,5.77765232322266,0,0,0,2.19722457733622,0,0,0,2.39789527279837,0,0,0,4.56434819146784,0,0,0,4.24849524204936,0,0,0,4.14313472639153,0,0,0,0,0,0,1,0,0,8
"274","The Twilight Saga Eclipse",64832191,17.9873128126622,4468,8.40469616018909,2010-06-30,491,0,3058202,799,1225,1547,3137324,812,1250,1576,3217731,850,1310,1660,3298743,863,1328,1684,3404344,887,1367,1745,3468042,928,1453,1867,14.9333380465249,6.68461172766793,7.11151211649616,7.34471905414967,11.2787588826657,2.63905732961526,3.25809653802148,3.40119738166216,11.2948689527046,3.66356164612965,4.11087386417331,4.44265125649032,11.302364914604,2.63905732961526,2.94443897916644,3.2188758248682,11.5674325894689,3.2188758248682,3.68887945411394,4.12713438504509,11.0619241428499,3.73766961828337,4.46590811865458,4.81218435537242,1,1,1,0,1,1,2
"275","The Virginity Hit",301885,12.6178014291343,700,6.5510803350434,2010-09-24,62,0,183,3,3,3,5117,9,9,13,11803,9,9,13,17351,12,14,20,28722,18,25,37,77206,29,48,64,5.21493575760899,1.38629436111989,1.38629436111989,1.38629436111989,8.50410795186758,1.94591014905531,1.94591014905531,2.39789527279837,8.80792062205398,0,0,0,8.6213730103259,1.38629436111989,1.79175946922805,2.07944154167984,9.33890947277089,1.94591014905531,2.484906649788,2.89037175789616,10.7890097507386,2.484906649788,3.17805383034795,3.3322045101752,0,0,0,1,0,0,7
"276","The Warrior%27s Way",3048665,14.9302143478448,1622,7.39141523467536,2010-12-03,551,0,68012,13,12,18,76785,14,15,21,87148,18,19,26,96214,22,22,29,120799,27,26,34,154596,30,28,39,11.1274541423569,2.63905732961526,2.56494935746154,2.94443897916644,9.07954808172616,0.693147180559945,1.38629436111989,1.38629436111989,9.246093541682,1.6094379124341,1.6094379124341,1.79175946922805,9.11239672764606,1.6094379124341,1.38629436111989,1.38629436111989,10.1099324542273,1.79175946922805,1.6094379124341,1.79175946922805,10.4281569081228,1.38629436111989,1.09861228866811,1.79175946922805,1,0,0,1,0,0,5
"277","The Weathered Underground",1010,6.9177056098353,3,1.09861228866811,2010-01-26,922,0,1726,17,19,42,1807,17,19,42,1889,17,19,42,1972,17,19,42,2098,17,19,42,2231,17,19,42,7.45414107814668,2.89037175789616,2.99573227355399,3.76120011569356,4.40671924726425,0,0,0,4.4188406077966,0,0,0,4.43081679884331,0,0,0,4.84418708645859,0,0,0,4.89783979995091,0,0,0,0,0,0,0,0,0,0
"278","The Wildest Dream",67848,11.1250251880415,12,2.484906649788,2010-08-06,-40,1,422,0,0,0,423,0,0,0,423,0,0,0,423,0,0,0,423,0,0,0,424,0,0,0,6.04737217904628,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,1,1,1,0,7
"279","The Wolfman",31479235,17.2648386800746,3222,8.07775756373692,2010-02-12,1228,0,548974,197,296,441,569280,217,305,451,595555,221,317,468,629861,242,326,489,677861,243,343,514,741828,278,383,568,13.2158081821142,5.28826703069454,5.6937321388027,6.0913098820777,9.91872093317672,3.04452243772342,2.30258509299405,2.39789527279837,10.1764112540124,1.6094379124341,2.56494935746154,2.89037175789616,10.4431046939649,3.09104245335832,2.30258509299405,3.09104245335832,10.7789771230064,0.693147180559945,2.89037175789616,3.25809653802148,11.0661382373001,3.58351893845611,3.71357206670431,4.00733318523247,1,0,0,1,0,0,3
"280","Tiny Furniture",21235,9.96340604274737,1,0,2010-11-12,211,0,2087,13,19,57,2201,13,19,57,2321,13,19,57,2472,13,19,57,3799,13,19,57,4433,13,19,57,7.64396194900253,2.63905732961526,2.99573227355399,4.06044301054642,4.74493212836325,0,0,0,4.79579054559674,0,0,0,5.02388052084628,0,0,0,7.19142933003638,0,0,0,6.45362499889269,0,0,0,0,0,0,1,0,0,4
"281","Tooth Fairy",14010409,16.4553111113203,3344,8.11492297420459,2010-01-22,273,0,233509,52,63,91,244584,52,63,91,256008,58,69,98,268936,66,75,108,290505,72,80,115,319079,80,87,126,12.3609801817265,3.97029191355212,4.15888308335967,4.52178857704904,9.31253588429085,0,0,0,9.34355921576241,1.94591014905531,1.94591014905531,2.07944154167984,9.46722812925455,2.19722457733622,1.94591014905531,2.39789527279837,9.9790587393832,1.94591014905531,1.79175946922805,2.07944154167984,10.260287488663,2.19722457733622,2.07944154167984,2.484906649788,1,0,0,1,0,0,5
